NAVI,9.34,6.8,26.6,4.75,4,USD,230,Финансы
C,59.06,3.2,38.3,11.57,4,USD,404,Финансы
HBAN,12.39,4.6,27.1,17.51,4,USD,498,Финансы
UNM,21.63,5.0,6.1,4.64,4,USD,631,Финансы
BK,40.79,2.8,13.9,8.96,4,USD,632,Финансы
MET,45.65,3.8,8.2,7.49,4,USD,633,Финансы
USB,44.86,3.5,14.5,14.86,+4,USD,666,Финансы
BAC,28.67,2.3,22.0,14.17,4,USD,669,Финансы
PBCT,12.76,5.5,6.1,11.08,4,USD,676,Финансы
STT,70.66,2.8,13.9,11.27,+4,USD,686,Финансы
RGA,114.46,2.2,19.6,14.51,4,USD,721,Финансы
MTB,123.73,3.3,9.1,12.33,4,USD,730,Финансы
PFG,47.95,4.5,6.1,10.86,4,USD,734,Финансы
IVZ,17.45,7.0,6.1,16.29,4,USD,751,Финансы
AFL,43.89,1.8,13.9,6.86,+3,USD,752,Финансы
FITB,26.63,3.5,7.0,13.29,+4,USD,761,Финансы
RE,232.53,2.4,13.9,14.05,4,USD,770,Финансы
QIWI,758.0,0.0,62.1,5.36,2,USD,805,Финансы
ALL,107.4,1.3,14.0,7.53,+3,USD,847,Финансы
GS,242.13,1.7,15.9,13.96,4,USD,849,Финансы
SBRA,17.61,10.2,6.1,25.48,4,USD,886,Финансы
RJF,93.86,1.4,19.3,16.13,+4,USD,909,Финансы
AMP,186.94,2.0,6.5,13.4,4,USD,940,Финансы
CFR,86.1,3.2,6.1,16.25,4,USD,955,Финансы
TROW,150.44,2.0,10.0,16.86,4,USD,974,Финансы
KMPR,76.68,1.3,10.8,11.71,4,USD,979,Финансы
BOH,76.88,3.3,6.1,18.12,4,USD,981,Финансы
AIZ,131.29,1.8,14.2,20.19,4,USD,990,Финансы
ZION,41.08,3.1,6.1,17.45,4,USD,991,Финансы
JEF,23.5,2.1,6.1,10.58,4,USD,1005,Финансы
EWBC,47.73,2.2,6.1,11.63,4,USD,1011,Финансы
PNFP,62.91,1.0,17.6,16.25,4,USD,1030,Финансы
WLTW,204.89,1.2,27.8,25.03,+4,USD,1036,Финансы
CINF,83.04,2.6,6.1,17.12,4,USD,1049,Финансы
TRV,138.86,2.3,6.1,15.9,4,USD,1083,Финансы
BEN,25.01,4.1,3.9,15.74,+4,USD,1084,Финансы
AFG,85.35,3.1,11.3,30.51,3,USD,1088,Финансы
HIG,47.65,2.5,2.8,9.97,4,USD,1129,Финансы
CME,183.98,2.1,15.0,30.66,+3,USD,1136,Финансы
AIG,37.48,3.4,13.3,31.171553672316353,4,USD,1153,Финансы
CBU,62.93,2.5,6.1,20.91,4,USD,1161,Финансы
WTFC,60.83,1.6,6.1,13.55,4,USD,1168,Финансы
LPLA,103.55,0.9,10.5,17.21,4,USD,1182,Финансы
KEY,15.42,4.6,-6.0,13.43,4,USD,1188,Финансы
CMA,52.63,5.0,-6.9,14.42,4,USD,1204,Финансы
UMBF,67.8,1.7,6.1,16.7,4,USD,1212,Финансы
GBCI,45.87,1.8,6.1,17.88,3,USD,1222,Финансы
PGR,96.95,0.3,8.3,11.24,+3,USD,1223,Финансы
NDAQ,128.6,1.4,8.8,23.55,4,USD,1251,Финансы
JPM,119.08,2.0,4.9,15.54,+3,USD,1260,Финансы
PRU,76.51,5.2,6.1,31.171553672316353,4,USD,1263,Финансы
TFC,45.9,3.7,-4.2,15.68,4,USD,1267,Финансы
SCHW,51.98,1.3,8.6,24.07,4,USD,1291,Финансы
CFG,34.21,3.9,-8.0,15.49,4,USD,1302,Финансы
LFC,11.04,0.7,6.1,6.87,1,USD,1311,Финансы
THG,117.07,2.0,-0.1,14.9,4,USD,1332,Финансы
SYF,32.35,2.6,-4.2,14.83,4,USD,1336,Финансы
MCO,283.37,0.7,19.2,29.47,4,USD,1345,Финансы
NTRS,91.9,2.8,-5.1,15.22,4,USD,1349,Финансы
PB,67.51,2.5,-6.7,12.96,4,USD,1359,Финансы
PRI,135.79,1.0,6.1,14.58,4,USD,1365,Финансы
MS,64.18,2.0,-5.0,10.83,4,USD,1366,Финансы
GL,92.81,0.9,6.1,14.09,5,USD,1389,Финансы
EHTH,71.48,0.0,130.8,29.13,0,USD,1407,Финансы
Y,593.0,0.0,43.3,31.171553672316353,0,USD,1410,Финансы
RF,15.26,3.8,-10.5,19.14,4,USD,1411,Финансы
PNC,144.91,2.8,-20.7,8.64,4,USD,1414,Финансы
BFYT,31.01,0.0,93.4,31.171553672316353,0,USD,1414,Финансы
WFC,29.01,6.6,21.5,78.06,4,USD,1417,Финансы
AON,205.49,0.8,9.4,26.5,4,USD,1422,Финансы
CBSH,62.72,1.5,6.1,23.36,4,USD,1427,Финансы
