SNGSP,39.72,19.1,46.6,2.16,1,RUB,71,Энергетика
TRNFP,145050.0,7.3,32.8,5.76,1,RUB,217,Энергетика
SNGS,33.45,1.9,81.5,2.16,1,RUB,354,Энергетика
TATN,513.4,23.2,56.8,11.82,4,RUB,372,Энергетика
ETR,93.93,2.9,33.0,13.62,3,USD,391,Энергетика
TATNP,481.7,24.7,40.8,11.82,4,RUB,399,Энергетика
ETRN,7.03,19.2,113.3,32.042214076246324,3,USD,514,Энергетика
ET,6.78,13.4,135.9,32.042214076246324,3,USD,516,Энергетика
SIBN,338.1,7.7,25.9,13.7,2,RUB,582,Энергетика
GAZP,224.74,7.3,13.9,15.807857142857147,1,RUB,920,Энергетика
VLO,67.83,3.9,13.1,32.042214076246324,3,USD,1015,Энергетика
MRO,9.12,2.1,20.6,32.042214076246324,4,USD,1029,Энергетика
TOT,44.05,5.4,8.9,32.042214076246324,4,USD,1058,Энергетика
KRKNP,15400.0,9.6,29.8,17.19,1,RUB,1060,Энергетика
OKE,44.86,5.9,1.1,31.03,3,USD,1100,Энергетика
PTR,34.98,1.3,1.1,10.76,2,USD,1144,Энергетика
COP,47.69,2.1,13.2,32.042214076246324,3,USD,1168,Энергетика
BANEP,1163.5,13.6,1.1,15.807857142857147,1,RUB,1194,Энергетика
BANE,1629.0,9.7,1.1,15.807857142857147,1,RUB,1211,Энергетика
FTI,7.02,7.4,1.1,32.042214076246324,4,USD,1240,Энергетика
RDS.A,39.08,6.1,1.1,32.042214076246324,3,USD,1272,Энергетика
MPC,51.22,3.1,3.9,32.042214076246324,3,USD,1280,Энергетика
NBL,8.52,5.5,1.1,32.042214076246324,4,USD,1286,Энергетика
LKOH,5603.5,6.1,17.8,36.13,2,RUB,1438,Энергетика
APA,17.63,2.8,1.1,32.042214076246324,+2,USD,1451,Энергетика
KMI,14.78,5.0,26.2,316.83,3,USD,1475,Энергетика
COG,18.06,1.5,21.8,33.79,3,USD,1479,Энергетика
BKR,23.08,2.3,1.1,32.042214076246324,3,USD,1506,Энергетика
EOG,60.57,1.3,2.3,32.042214076246324,3,USD,1569,Энергетика
WMB,22.26,5.1,12.3,125.64,+3,USD,1616,Энергетика
PSX,80.05,3.3,-0.7,32.042214076246324,3,USD,1624,Энергетика
CVX,95.0,3.7,-1.8,32.042214076246324,3,USD,1633,Энергетика
ROSN,508.0,5.2,4.1,29.77,2,RUB,1657,Энергетика
HFC,33.32,3.0,-1.0,32.042214076246324,+3,USD,1660,Энергетика
HES,60.72,1.6,1.1,32.042214076246324,4,USD,1671,Энергетика
XOM,52.02,5.0,-6.2,32.042214076246324,3,USD,1675,Энергетика
SLB,25.58,5.8,-8.2,32.042214076246324,3,USD,1697,Энергетика
NOV,13.7,1.4,1.1,32.042214076246324,4,USD,1718,Энергетика
NVTK,1341.2,2.3,7.8,58.85,2,RUB,1849,Энергетика
HAL,19.57,3.6,-15.7,32.042214076246324,4,USD,1902,Энергетика
OXY,25.28,9.3,-24.9,32.042214076246324,+3,USD,1913,Энергетика
RRC,10.35,0.7,1.1,32.042214076246324,4,USD,1938,Энергетика
HP,26.2,8.1,-28.1,32.042214076246324,3,USD,1964,Энергетика
DVN,20.54,0.8,-0.2,32.042214076246324,+2,USD,2002,Энергетика
PBF,11.8,10.1,-32.3,32.042214076246324,4,USD,2009,Энергетика
CXO,69.19,0.7,1.1,32.042214076246324,4,USD,2018,Энергетика
DK,22.53,5.0,-29.0,32.042214076246324,4,USD,2036,Энергетика
MUR,14.4,5.2,-30.6,32.042214076246324,3,USD,2052,Энергетика
FANG,65.14,1.0,-6.4,32.042214076246324,4,USD,2079,Энергетика
EQT,18.3,0.6,-4.4,32.042214076246324,4,USD,2168,Энергетика
REGI,93.51,0.0,-15.6,8.27,0,USD,2186,Энергетика
CLR,21.82,0.0,9.9,32.042214076246324,0,USD,2199,Энергетика
OVV,20.95,1.3,-26.1,32.042214076246324,+3,USD,2326,Энергетика
XEC,49.5,0.8,-18.6,32.042214076246324,+2,USD,2354,Энергетика
MGY,9.86,0.0,-8.8,32.042214076246324,0,USD,2648,Энергетика
PXD,133.01,0.9,-9.8,127.33,+3,USD,2654,Энергетика
TPIC,67.17,0.0,-45.0,32.042214076246324,0,USD,3134,Энергетика
SEDG,316.09,0.0,-47.5,118.13,0,USD,3387,Энергетика
