SHI,23.9,13.4,-0.3,8.69,1,USD,594,Сырье
NEM,57.8,2.2,22.8,18.21,4,USD,636,Сырье
OI,13.29,1.5,12.8,8.58,4,USD,722,Сырье
STLD,41.19,2.3,9.2,15.9,4,USD,772,Сырье
CMP,67.38,4.2,9.8,27.98,4,USD,868,Сырье
WRK,43.76,3.1,19.7,32.15498529411764,3,USD,931,Сырье
APD,260.73,1.3,30.2,30.63,+3,USD,988,Сырье
NEU,389.38,1.8,-0.3,15.82,4,USD,1111,Сырье
FUL,56.47,0.8,15.1,23.98,3,USD,1141,Сырье
FMC,108.72,1.5,16.2,32.15498529411764,4,USD,1207,Сырье
SHW,707.42,0.6,23.5,32.06,4,USD,1255,Сырье
RS,127.49,1.7,-0.3,20.87,4,USD,1264,Сырье
IFF,136.89,2.1,7.7,32.15498529411764,4,USD,1266,Сырье
RPM,85.89,1.2,4.7,26.06,3,USD,1267,Сырье
AVNT,43.77,1.3,6.2,30.15,+3,USD,1283,Сырье
LYB,97.99,4.2,-6.7,27.6,4,USD,1351,Сырье
POLY,1652.6,0.0,1.9,15.07,2,USD,1364,Сырье
CE,131.12,1.4,-14.1,7.74,3,USD,1386,Сырье
NUE,57.34,2.7,-0.3,32.15498529411764,4,USD,1460,Сырье
IP,49.19,3.0,10.2,40.29,3,USD,1507,Сырье
UFS,34.48,5.2,-0.7,32.15498529411764,4,USD,1526,Сырье
SEE,42.72,1.1,4.1,32.15498529411764,+3,USD,1541,Сырье
RGLD,108.53,0.9,-0.3,28.0,4,USD,1610,Сырье
CLF,16.86,1.6,-0.3,32.15498529411764,5,USD,1673,Сырье
AVY,179.11,0.9,-5.1,27.07,+3,USD,1728,Сырье
EMN,110.32,2.2,-20.3,31.49,4,USD,1769,Сырье
PPG,137.35,1.0,-5.4,30.87,3,USD,1772,Сырье
DD,70.99,2.4,-6.1,32.15498529411764,3,USD,1782,Сырье
NGVT,69.45,0.0,0.7,15.5,0,USD,1813,Сырье
GRA,59.91,0.0,13.5,32.15498529411764,0,USD,1839,Сырье
VALE,18.03,1.2,-12.0,31.12,1,USD,1845,Сырье
LIN,250.14,1.0,11.0,59.55,+3,USD,1913,Сырье
ECL,210.91,0.8,-0.3,32.15498529411764,4,USD,1916,Сырье
SCCO,73.02,1.6,-0.3,35.95,3,USD,1954,Сырье
MLM,325.65,0.6,-17.9,28.19,4,USD,2033,Сырье
BLL,90.18,0.4,10.8,51.33,+3,USD,2045,Сырье
DOW,58.75,2.3,-11.5,36.23,+2,USD,2102,Сырье
CF,45.24,1.9,-13.8,34.28,3,USD,2170,Сырье
ASH,86.36,0.0,-7.4,32.15498529411764,0,USD,2368,Сырье
CRS,37.39,1.6,-41.2,32.15498529411764,3,USD,2433,Сырье
VMC,162.45,0.5,-8.6,37.03,+3,USD,2475,Сырье
MTRN,70.61,0.4,-0.3,58.78,3,USD,2476,Сырье
MOS,30.65,0.4,-22.6,32.15498529411764,+3,USD,2491,Сырье
CTVA,45.28,0.5,-9.5,50.07,+2,USD,2571,Сырье
WLK,88.05,1.1,-46.7,39.22,4,USD,2683,Сырье
ALB,162.2,0.9,-33.8,45.3,4,USD,2722,Сырье
FCX,32.9,0.6,-49.3,32.15498529411764,4,USD,2755,Сырье
KALU,110.9,1.6,-43.4,146.58,3,USD,2815,Сырье
UNVR,20.51,0.0,2.3,111.83,0,USD,2844,Сырье
AA,22.43,0.0,-16.8,32.15498529411764,0,USD,2945,Сырье
ASIX,28.71,0.0,-30.4,46.82,0,USD,3218,Сырье
