BSPB,54.39,6.8,46.1,2.8,1,RUB,144,Финансы
RGA,104.03,2.4,31.6,13.19,4,USD,483,Финансы
C,59.58,2.4,27.3,12.23,3,USD,507,Финансы
RE,214.11,2.6,23.7,12.94,4,USD,516,Финансы
USB,44.25,3.5,20.4,14.46,4,USD,517,Финансы
SBER,267.0,5.9,13.1,7.52,1,RUB,544,Финансы
SBERP,244.5,6.5,12.2,7.52,1,RUB,558,Финансы
JEF,24.36,1.5,31.3,8.94,+3,USD,565,Финансы
STT,70.8,2.7,13.7,11.21,4,USD,637,Финансы
IVZ,21.39,4.3,16.8,18.86,+3,USD,637,Финансы
SBRA,17.43,10.3,14.7,25.21,4,USD,705,Финансы
HBAN,13.53,3.2,17.0,19.49,+3,USD,716,Финансы
VTBR,0.03732,2.9,5.4,3.84,1,RUB,748,Финансы
BAC,31.03,1.6,22.4,16.57,+3,USD,752,Финансы
UNM,23.88,3.4,3.6,5.12,3,USD,768,Финансы
PBCT,13.74,3.8,3.6,10.39,3,USD,782,Финансы
QIWI,775.5,0.0,58.4,5.49,2,USD,797,Финансы
AFL,46.31,1.7,7.9,7.24,+3,USD,846,Финансы
ALL,110.79,1.3,11.5,7.77,3,USD,856,Финансы
PFG,50.59,3.2,3.6,11.46,+3,USD,866,Финансы
NAVI,11.77,5.4,0.5,5.43,4,USD,905,Финансы
SFIN,486.6,2.9,3.6,6.19,1,RUB,905,Финансы
PGR,86.75,0.3,21.0,8.97,3,USD,951,Финансы
EWBC,63.27,1.3,12.2,15.93,+3,USD,983,Финансы
SYF,36.04,1.8,7.1,15.84,3,USD,992,Финансы
RJF,104.84,1.3,12.5,17.0,4,USD,999,Финансы
WLTW,211.12,1.2,23.6,25.79,4,USD,1037,Финансы
BK,40.85,2.2,22.3,31.206121562952223,3,USD,1037,Финансы
MET,48.93,2.6,1.0,8.03,3,USD,1067,Финансы
TROW,157.41,1.9,5.1,17.64,4,USD,1067,Финансы
AIZ,133.51,1.3,12.3,20.53,+3,USD,1070,Финансы
BEN,25.62,4.0,1.4,16.4,4,USD,1097,Финансы
SIGI,64.78,0.9,9.6,15.89,+3,USD,1119,Финансы
CFR,93.62,2.2,3.6,18.27,+3,USD,1128,Финансы
HIG,49.27,2.4,-0.6,10.31,4,USD,1152,Финансы
BOH,80.23,2.4,3.6,20.81,+3,USD,1155,Финансы
WRB,63.95,0.6,20.4,22.58,4,USD,1165,Финансы
TRV,139.83,1.7,3.6,16.01,+3,USD,1174,Финансы
FITB,30.32,3.1,1.1,16.58,4,USD,1176,Финансы
KMPR,69.74,1.4,21.8,31.206121562952223,4,USD,1178,Финансы
CINF,87.11,1.9,3.6,17.96,+3,USD,1185,Финансы
AIG,38.57,3.3,10.1,31.206121562952223,4,USD,1187,Финансы
THG,113.73,2.1,2.8,14.47,4,USD,1198,Финансы
EHTH,49.67,0.0,232.1,20.24,0,USD,1209,Финансы
KEY,17.67,3.0,-5.7,13.93,+3,USD,1231,Финансы
MCO,278.25,0.7,21.4,28.94,4,USD,1250,Финансы
ZION,45.8,2.7,9.1,31.206121562952223,4,USD,1251,Финансы
UMBF,74.52,1.2,3.6,12.53,+3,USD,1262,Финансы
AJG,117.68,1.0,13.3,27.99,+3,USD,1267,Финансы
JPM,133.61,1.8,1.6,15.03,3,USD,1271,Финансы
CFG,38.01,2.7,-1.8,17.14,3,USD,1275,Финансы
WTFC,63.03,1.1,3.6,13.46,+3,USD,1278,Финансы
